index,rates
AED,4.021662
AFN,92.592018
ALL,103.914493
AMD,426.87423
ANG,1.983485
AOA,903.297671
ARS,314.592547
AUD,1.6855859999999998
AWG,1.973569
AZN,1.859958
BAM,1.957957
BBD,2.222179
BDT,120.462726
BGN,1.954879
BHD,0.412752
BIF,3119.093895
BMD,1.094906
BND,1.485817
BOB,7.605345
BRL,5.372162
BSD,1.100513
BTC,3.7218569e-05
BTN,91.187403
BWP,14.852364
BYN,2.778024
BYR,21460.164867
BZD,2.218475
CAD,1.472107
CDF,2671.571612
CHF,0.959669
CLF,0.034135
CLP,941.893434
CNY,7.943984
COP,4341.150473
CRC,588.943521
CUC,1.094906
CUP,29.015019
CVE,110.391671
CZK,24.05794
DJF,195.957696
DKK,7.451717
DOP,62.458246
DZD,148.863551
EGP,33.835197
ERN,16.423596
ETB,60.697777
EUR,1.0
FJD,2.465509
FKP,0.8624229999999999
GBP,0.8619979999999999
GEL,2.852201
GGP,0.8624229999999999
GHS,12.298494
GIP,0.8624229999999999
GMD,66.132967
GNF,9459.379172
GTQ,8.656617
GYD,230.252642
HKD,8.559091
HNL,27.071828
HRK,7.536022
HTG,150.222772
HUF,382.682925
IDR,16765.589566
ILS,4.091939
IMP,0.8624229999999999
INR,90.854781
IQD,1441.494826
IRR,46328.229393
ISK,144.703182
JEP,0.8624229999999999
JMD,170.147469
JOD,0.775177
JPY,158.644813
KES,157.335364
KGS,96.373492
KHR,4549.930014
KMF,492.51629
KPW,985.415733
KRW,1458.957279
KWD,0.336815
KYD,0.917115
KZT,491.610638
LAK,21393.059398
LBP,16520.579633
LKR,353.307342
LRD,204.442355
LSL,20.476138
LTL,3.232973
LVL,0.6622979999999999
LYD,5.277863
MAD,10.754801
MDL,19.397815
MGA,4960.465454
MKD,61.69368
MMK,2311.146427
MNT,3801.956277
MOP,8.860844
MRO,390.881386
MUR,49.602592
MVR,16.806989
MWK,1194.416011
MXN,18.607167
MYR,5.050255
MZN,69.25293
NAD,20.481416
NGN,846.636691
NIO,40.263995
NOK,11.429323
NPR,145.898752
NZD,1.829736
OMR,0.42151000000000005
PAB,1.100613
PEN,4.036447
PGK,3.9994069999999997
PHP,62.24488
PKR,317.402215
PLN,4.434864
PYG,7996.884025
QAR,3.986585
RON,4.9423
RSD,117.266224
RUB,110.681347
RWF,1298.530725
SAR,4.107506
SBD,9.163038
SCR,14.595285
SDG,656.739209
SEK,11.852273
SGD,1.4819529999999999
SHP,1.332228
SLE,23.545919
SLL,21624.401167
SOS,623.551401
SRD,41.852826
SSP,658.608653
STD,22662.351267
SYP,14343.273863
SZL,20.727838
THB,38.482667
TJS,12.067807
TMT,3.832172
TND,3.381892
TOP,2.602483
TRY,29.619435
TTD,7.4703669999999995
TWD,34.967476
TZS,2742.740437
UAH,40.645383
UGX,4105.504708
USD,1.094906
UYU,41.785849
UZS,13289.642564
VEF,3439769.636832
VES,32.920106
VND,26081.764658
VUV,131.094156
WST,3.012957
XAF,656.680532
XAG,0.0482
XAU,0.000572
XCD,2.9590389999999998
XDR,0.8232069999999999
XOF,656.680532
XPF,119.509183
YER,274.110163
ZAR,20.738298
ZMK,9855.477997
ZMW,20.988413
ZWL,352.559405
